league,season,team,nation,pos,age,born,90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,player,weekly wage,yearly salary
ENG-Premier League,2425,Arsenal,ENG,"FW,MF",25,2001,14.1,89,6.32,52,17,9,8,3,0,21,1.49,12,5,2,1,1,0,Bukayo Saka,250000.0,13000000.0
ENG-Premier League,2425,Arsenal,ENG,"FW,MF",25,2007,6.6,16,2.42,8,2,3,2,1,0,2,0.3,2,0,0,0,0,0,Ethan Nwaneri,,
ENG-Premier League,2425,Arsenal,BRA,FW,25,1997,6.8,18,2.66,10,0,1,5,1,1,4,0.59,1,0,0,3,0,0,Gabriel Jesus,120000.0,6240000.0
ENG-Premier League,2425,Arsenal,BRA,"FW,MF",25,2001,16.6,41,2.47,34,1,4,1,1,0,3,0.18,3,0,0,0,0,0,Gabriel Martinelli,200000.0,10400000.0
ENG-Premier League,2425,Arsenal,GER,"FW,MF",25,1999,20.4,41,2.01,34,0,1,6,0,0,3,0.15,2,0,0,1,0,0,Kai Havertz,220000.0,11440000.0
ENG-Premier League,2425,Arsenal,SCO,"DF,FW",25,1997,0.9,3,3.38,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Kieran Tierney,,
ENG-Premier League,2425,Arsenal,BEL,FW,25,1994,20.1,70,3.48,55,2,4,4,4,1,6,0.3,6,0,0,0,0,0,Leandro Trossard,110000.0,5720000.0
ENG-Premier League,2425,Arsenal,ESP,"MF,FW",25,1996,11.8,34,2.89,30,0,0,3,1,0,3,0.25,3,0,0,0,0,0,Mikel Merino,,
ENG-Premier League,2425,Arsenal,ENG,"FW,MF",25,1994,3.4,12,3.48,8,0,2,2,0,0,1,0.29,1,0,0,0,0,0,Raheem Sterling,350000.0,18200000.0
ENG-Premier League,2425,Arsenal,ENG,FW,25,1999,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Reiss Nelson,88000.0,4576000.0
ENG-Premier League,2425,Aston Villa,NED,FW,25,1999,1.9,3,1.58,2,0,1,0,0,0,0,0.0,0,0,0,0,0,0,Donyell Malen,,
ENG-Premier League,2425,Aston Villa,ARG,"MF,FW",25,1996,1.1,3,2.76,2,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Emi Buendía,,
ENG-Premier League,2425,Aston Villa,ENG,"FW,MF",25,2001,13.9,42,3.03,32,0,4,1,5,0,6,0.43,6,0,0,0,0,0,Jacob Ramsey,75000.0,3900000.0
ENG-Premier League,2425,Aston Villa,ENG,"FW,MF",25,2002,3.7,5,1.36,3,0,0,0,1,1,0,0.0,0,0,0,0,0,0,Jaden Philogene Bidace,,
ENG-Premier League,2425,Aston Villa,SCO,"MF,FW",25,1994,19.7,58,2.94,46,5,0,3,3,1,5,0.25,5,0,0,0,0,0,John McGinn,75000.0,3900000.0
ENG-Premier League,2425,Aston Villa,COL,FW,25,2003,7.1,18,2.54,9,0,0,4,3,2,1,0.14,0,0,0,0,0,1,Jáder Durán,,
ENG-Premier League,2425,Aston Villa,JAM,"FW,MF",25,1997,12.6,38,3.01,23,1,8,3,3,0,4,0.32,4,0,0,0,0,0,Leon Bailey,90000.0,4680000.0
ENG-Premier League,2425,Aston Villa,ESP,"MF,FW",25,1996,2.3,7,3.04,4,3,0,0,0,0,0,0.0,0,0,0,0,0,0,Marco Asensio,,
ENG-Premier League,2425,Aston Villa,ENG,FW,25,1997,2.2,17,7.57,10,1,3,1,2,0,3,1.34,2,0,0,1,0,0,Marcus Rashford,300000.0,15600000.0
ENG-Premier League,2425,Aston Villa,POL,"DF,FW",25,1997,15.5,16,1.03,14,1,1,0,0,0,1,0.06,1,0,0,0,0,0,Matty Cash,69000.0,3588000.0
ENG-Premier League,2425,Aston Villa,ENG,"MF,FW",25,2002,26.0,80,3.08,61,0,8,7,4,0,9,0.35,7,0,1,0,1,0,Morgan Rogers,,
ENG-Premier League,2425,Aston Villa,ENG,FW,25,1995,22.8,45,1.97,30,0,4,6,5,0,10,0.44,6,0,1,1,2,0,Ollie Watkins,120000.0,6240000.0
ENG-Premier League,2425,Bournemouth,GHA,FW,25,2000,26.4,98,3.71,65,1,15,11,4,2,10,0.38,7,0,1,0,2,0,Antoine Semenyo,48000.0,2496000.0
ENG-Premier League,2425,Bournemouth,BFA,FW,25,2002,16.8,55,3.28,44,0,1,9,0,1,6,0.36,4,0,1,1,0,0,Dango Ouattara,42000.0,2184000.0
ENG-Premier League,2425,Bournemouth,ENG,FW,25,2003,0.7,5,7.03,4,0,1,0,0,0,0,0.0,0,0,0,0,0,0,Daniel Jebbison,,
