league,season,team,nation,pos,age,born,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,player,weekly wage,yearly salary
ENG-Premier League,2425,Arsenal,ENG,DF,25,1997,7.8,10,6,8,1,1,9,21,42.9,12,7,6,1,11,21,23,0,Ben White,,
ENG-Premier League,2425,Arsenal,BRA,DF,25,1997,25.1,24,14,12,7,5,12,16,75.0,4,40,28,12,15,39,87,2,Gabriel Magalhães,,
ENG-Premier League,2425,Arsenal,POL,DF,25,2000,3.6,4,2,3,1,0,3,5,60.0,2,5,2,3,1,5,16,1,Jakub Kiwior,58000.0,3016000.0
ENG-Premier League,2425,Arsenal,NED,DF,25,2001,23.4,51,33,14,26,11,16,24,66.7,8,15,4,11,19,70,41,1,Jurriën Timber,110000.0,5720000.0
ENG-Premier League,2425,Arsenal,SCO,"DF,FW",25,1997,0.9,2,1,1,0,1,0,2,0.0,2,0,0,0,1,3,2,0,Kieran Tierney,,
ENG-Premier League,2425,Arsenal,ENG,DF,25,2006,7.5,19,13,10,9,0,8,8,100.0,0,0,0,0,5,24,11,0,Myles Lewis-Skelly,,
ENG-Premier League,2425,Arsenal,UKR,"DF,MF",25,1996,3.3,2,0,1,1,0,1,4,25.0,3,5,0,5,3,5,5,0,Oleksandr Zinchenko,120000.0,6240000.0
ENG-Premier League,2425,Arsenal,ITA,DF,25,2002,10.3,26,18,15,9,2,18,29,62.1,11,12,6,6,9,35,25,0,Riccardo Calafiori,,
ENG-Premier League,2425,Arsenal,JPN,DF,25,1998,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Takehiro Tomiyasu,62000.0,3224000.0
ENG-Premier League,2425,Arsenal,GHA,"MF,DF",25,1993,23.3,74,46,22,32,20,39,60,65.0,21,19,6,13,27,101,37,4,Thomas Partey,160000.0,8320000.0
ENG-Premier League,2425,Arsenal,FRA,DF,25,2001,25.3,48,29,28,18,2,16,21,76.2,5,16,9,7,19,67,81,3,William Saliba,190000.0,9880000.0
ENG-Premier League,2425,Aston Villa,ESP,"DF,MF",25,2003,3.0,7,5,5,2,0,3,6,50.0,3,2,0,2,0,7,8,2,Andrés García,,
